popularity,budget,revenue,genres,vote_count,vote_average,budget_adj,revenue_adj
3.358321,0,22354572,Crime|Drama|Mystery,474,6.2,0.0,20566197.1908732
3.339135,175000000,331926147,Adventure|Animation|Comedy|Family|Fantasy,1087,6.6,160999929.160031,305371920.876354
3.23737,50000000,71561644,Action|Crime|Drama|Mystery|Thriller,814,6.3,45999979.7600089,65836683.5118592
3.227329,11000000,62076141,Drama|Romance,754,7.3,10119995.5472019,57110024.5915891
3.202719,28000000,201634991,Drama|Music,918,7.7,25759988.6656049,185504110.098191
3.080505,90000000,140396650,Fantasy|Action|Adventure,879,5.6,82799963.568016,129164861.167461
3.079522,30000000,34441873,History|Drama,1035,6.9,27599987.8560053,31686509.2179359
3.053421,75000000,108145109,Comedy|Action|Adventure,1548,7.0,68999969.6400133,99493456.5028791
3.025852,25000000,42629776,Fantasy|Drama|Romance,1221,7.3,22999989.8800044,39219376.6634742
3.023253,10000000,14333790,Action|Adventure|Science Fiction,396,5.9,9199995.95200178,13187080.9976843
2.976436,135000000,368871007,Fantasy|Comedy|Animation|Science Fiction|Family,1060,6.9,124199945.352024,339361177.121082
2.968254,12000000,85512300,Drama|Mystery|Romance,1252,6.2,11039995.1424021,78671281.3846362
2.93234,30000000,0,Thriller|Crime|Drama,481,5.3,27599987.8560053,0.0
2.885126,4000000,9064511,Thriller|Comedy|Drama|Romance|Science Fiction,638,6.6,3679998.38080071,8339346.45068756
2.883233,11800000,40272135,Romance|Drama,562,7.1,10855995.2233621,37050347.8978469
2.814802,35000000,194564672,Comedy,1255,7.1,32199985.8320062,178999419.480255
2.798017,55000000,203427584,Adventure|Drama,1172,6.7,50599977.7360098,187153294.93255
2.793297,60000000,101134059,Comedy|Drama,1001,6.4,55199975.7120106,93043293.3409509
2.614499,105000000,133718711,Action|Crime|Thriller,505,5.5,96599957.4960187,123021159.990689
2.584264,20000000,36606743,Drama,631,6.3,18399991.9040035,33678188.7415969
2.578919,26000000,30523226,Science Fiction|Mystery|Thriller,719,6.2,23919989.4752046,28081355.5642035
2.575711,60000000,30418560,Comedy|Adventure,696,5.3,55199975.7120106,27985062.8865723
2.557859,15000000,64191523,Drama,867,7.3,13799993.9280026,59056175.1752829
2.550747,70000000,17752940,Mystery|Crime|Action|Thriller|Drama,584,5.0,64399971.6640124,16332697.613613
2.487849,30000000,84025816,Action|Crime|Drama|Mystery|Thriller,1479,7.1,27599987.8560053,77303716.7063646
2.487042,120000001,167977596,Action|Adventure|Science Fiction,1565,4.4,110399952.34402,154539320.322699
2.46449,3500000,40423945,Mystery|Horror,700,5.8,3219998.58320062,37190013.0363942
2.404473,65000000,235666219,Action|Comedy|Crime,1840,6.9,59799973.6880115,216812826.082356
2.395366,50100000,153962963,Romance|Comedy|Crime|Drama,1831,6.7,46091979.7195289,141645863.63582
2.354654,35000000,82347656,Action|Crime|Thriller,820,5.5,32199985.8320062,75759810.1856835
2.345821,100000000,93820758,Thriller|Drama|Adventure|Action|History,805,6.4,91999959.5200178,86315059.3813738
2.331636,20000000,0,Crime|Thriller|Action,280,5.4,18399991.9040035,0.0
2.331567,35000000,137935567,Drama,1171,7.3,32199985.8320062,126900665.803707
2.31767,35000000,140795793,Comedy,849,6.1,32199985.8320062,129532072.565888
2.29573,13000000,32848185,Drama|Thriller|War,265,7.2,11959994.7376023,30220316.9030605
2.28135,25000000,42972994,Crime|Thriller,619,6.7,22999989.8800044,39535137.0845396
2.272044,0,45895,Thriller,81,5.5,0.0,42223.3814217121
2.234573,150000000,128388320,Adventure|Family|Fantasy,586,5.9,137999939.280026,118117202.42843
2.165433,0,0,Action|Adventure|Fantasy,27,5.1,0.0,0.0
2.141506,0,0,Comedy|Drama,569,7.7,0.0,0.0
2.140199,99000000,246233113,Adventure|Animation|Comedy|Family,414,6.4,91079959.9248176,226534364.284879
2.121884,35000000,48623572,Drama,500,6.9,32199985.8320062,44733666.5571867
2.096273,25000000,52395996,Comedy,363,6.1,22999989.8800044,48204295.1101101
2.080935,2500000,5214043,Drama|Horror|Thriller,473,4.8,2299998.98800044,4796917.44935632
2.070708,34000000,63013281,Romance|Drama,711,7.3,31279986.236806,57972193.012235
2.060162,80000000,466183544,Animation|Comedy|Family,919,6.8,73599967.6160142,428888671.768984
2.055572,17000000,24000000,Family|Comedy,111,5.3,15639993.118403,22079990.2848042
2.049886,35000000,61181942,Adventure|Drama|Thriller,706,6.8,32199985.8320062,56287361.8735607
2.026651,11000000,1863315,Action|Crime|Drama,326,5.9,10119995.5472019,1714249.04573042
2.000338,31000000,104384188,Adventure|Comedy,846,6.1,28519987.4512055,96033410.7052992
1.984529,35000000,95437994,Horror|Thriller,589,5.0,32199985.8320062,87802915.846717
1.980039,4000000,187112,Horror,384,5.1,3679998.38080071,172142.964257095
1.959765,0,2000000,Drama|Romance|Science Fiction,135,5.6,0.0,1839999.19040035
1.95632,50000000,3324330,Crime|Thriller,341,5.9,45999979.7600089,3058382.2543118
1.926739,5000000,58978653,Thriller|Mystery,631,6.6,4599997.97600089,54260336.8854517
1.904898,50000000,240360392,Comedy,568,5.7,45999979.7600089,221131463.342156
1.876037,0,0,Fantasy|Action|Adventure,11,5.4,0.0,0.0
1.872696,10000000,0,Thriller|Science Fiction|Action|Adventure,181,4.1,9199995.95200178,0.0
1.865007,64000000,97571250,Adventure|Animation|Fantasy,423,7.5,58879974.0928114,89765510.5031753
1.841779,0,233755553,Adventure|Animation|Comedy|Family,278,5.7,0.0,215055014.135793
1.82313,11930000,18340000,Drama,197,6.9,10975595.1707381,16872792.5759712
1.758618,8500000,43528634,Romance|Comedy,753,6.8,7819996.55920151,40046325.6596167
1.742286,10000000,52882018,Horror,331,5.5,9199995.95200178,48651435.1533685
1.73518,30000000,107597242,Action|Adventure|Comedy|Family,422,5.3,27599987.8560053,98989419.0846556
1.72471199999999,0,0,Adventure|Animation|Family,475,7.0,0.0,0.0
1.661789,0,0,Action|Drama|Science Fiction,161,5.4,0.0,0.0
1.65107799999999,4000000,50163103,Thriller,810,3.9,3679998.38080071,46150034.4539848
1.646664,0,0,Thriller|Action,114,5.6,0.0,0.0
1.532997,30000000,49263404,Comedy,364,6.2,27599987.8560053,45322311.7381828
1.510096,23000000,79799880,Comedy,446,6.5,21159990.689604,73415857.2970227
1.499614,15000000,14860766,Comedy|Horror,288,6.2,13799993.9280026,13671898.7043645
1.495112,5000000,98450062,Horror|Thriller,729,5.9,4599997.97600089,90574017.1874324
1.48324599999999,53000000,99775678,Crime|Drama,848,6.3,48759978.5456094,91793583.3708233
1.449072,8900000,50136,Crime|Action|Thriller,233,5.4,8187996.39728158,46125.0997049561
1.448002,15000000,61548707,Horror|Comedy|Fantasy,342,5.9,13799993.9280026,56624785.5250943
1.443406,20000000,208588,Drama|Mystery|Thriller,322,5.7,18399991.9040035,191900.875563614
1.41239,5000000,54418872,Action|Thriller,519,6.7,4599997.97600089,50065340.2112503
1.40805,700000,17986781,Crime|Drama|Comedy,448,7.3,643999.716640124,16547831.2389542
1.388251,28000000,28208085,Comedy|Action,695,5.9,25759988.6656049,25951426.7813722
1.388032,11000000,61619773,Drama,277,7.3,10119995.5472019,56690166.2163268
1.38032,0,0,Action|Fantasy|Adventure,22,4.5,0.0,0.0
1.376605,30000000,105011053,Comedy,399,5.9,27599987.8560053,96610126.2515444
1.360926,12000000,32248241,Science Fiction|Thriller,637,6.3,11039995.1424021,29668368.6659177
1.360827,0,5189646,Comedy|Science Fiction,199,5.8,0.0,4774472.21923222
1.355822,25000000,72629670,Thriller|Action|Crime,407,5.3,22999989.8800044,66819266.9995225
1.345982,55000000,74679822,Mystery|Thriller|Fantasy|Horror|Drama,819,6.4,50599977.7360098,68705406.0096213
1.342839,0,0,Thriller|Action,169,5.1,0.0,0.0
1.338481,14800000,122413057,Comedy|Drama|Music,501,6.3,13615994.0089626,112619962.887216
1.338322,10000000,78099553,Horror|Thriller,267,5.0,9199995.95200178,71851557.1453148
1.329702,0,229094,Romance|Thriller|Western,229,6.6,0.0,210766.387262789
1.316239,15000000,8235661,Drama,273,7.2,13799993.9280026,7576804.78620589
1.315266,19500000,32189727,Crime|Drama|Mystery,202,6.2,17939992.1064034,29614535.8096042
1.29314,0,2500431,Comedy,132,6.4,0.0,2300395.50782597
1.291013,74000000,311594032,Family|Animation,533,5.7,68079970.0448131,286666383.306791
1.284541,0,4719695,Crime|Drama|Mystery,354,6.0,0.0,4342117.4894683
1.278928,20000000,43967255,Adventure|Drama|Family,214,7.0,18399991.9040035,40449856.802063
1.25358,0,59700000,Family|Animation|Comedy|Adventure,340,6.9,0.0,54923975.8334506
1.251681,11000000,0,Drama,43,6.3,10119995.5472019,0.0
1.245224,0,1702433,Comedy|Drama,102,6.3,0.0,1566237.67085542
1.225325,40000000,10664749,Action|Drama|Crime,283,5.6,36799983.8080071,9811564.7629115
1.191138,1000000,62882090,Horror|Thriller,643,5.6,919999.595200178,57851497.3453411
1.178831,35000000,51680201,Action|Crime|Comedy,472,5.5,32199985.8320062,47545763.9998638
1.164724,10000000,104303851,Drama|Horror|Thriller,610,6.3,9199995.95200178,95959500.6978197
1.161812,0,118483,Drama|Science Fiction|Thriller,181,5.5,0.0,109004.312038102
1.144808,0,0,Action|Adventure|Fantasy,59,4.5,0.0,0.0
1.142518,6000000,41387687,Comedy|Drama,135,5.9,5519997.57120106,38076655.2862716
1.138395,40000000,34227298,Drama|Science Fiction|Thriller,408,5.5,36799983.8080071,31489100.3047958
1.128081,0,0,Adventure|Drama|Family,11,7.5,0.0,0.0
1.125239,8000000,3759286,Animation|Comedy|Drama|Romance,259,6.7,7359996.76160142,3458541.59824169
1.073349,1800000,0,Horror|Western|Adventure|Drama,220,6.3,1655999.27136032,0.0
1.065888,0,17671101,Horror|Mystery|Thriller,310,5.2,0.0,16257405.7667414
1.063055,0,0,Drama,148,6.6,0.0,0.0
1.046518,0,11472454,Drama,104,7.1,0.0,10554653.0359526
1.041922,20000000,0,Thriller|Action,100,5.8,18399991.9040035,0.0
1.03839,2000000,1477002,Drama|Romance,186,6.8,1839999.19040035,1358841.24210985
1.036825,0,0,Horror|Thriller,114,5.3,0.0,0.0
1.02762,0,0,Horror|Thriller|Comedy|Crime,371,6.0,0.0,0.0
1.021441,0,3643591,Action|Adventure,237,6.3,0.0,3352102.24507501
1.008474,12000000,0,Romance|Fantasy|Horror,211,5.7,11039995.1424021,0.0
1.007054,11000000,27391084,Mystery|Drama,319,6.1,10119995.5472019,25199786.192094
0.973316,15000000,0,Drama|History,30,6.0,13799993.9280026,0.0
0.956096,18000000,41325328,Comedy|Drama|Music,152,5.5,16559992.7136032,38019285.0315145
0.953647,0,0,Comedy|Drama|Romance,139,7.2,0.0,0.0
0.953046,630019,0,Action|Comedy|Science Fiction|Fantasy,487,7.7,579617.224968421,0.0
0.950793,12000000,60273173,Drama|Thriller,122,5.6,11039995.1424021,55451294.7614303
0.938432,0,1936524,Crime|Drama|Mystery|Thriller,69,5.8,0.0,1781601.29609542
0.93762,10000000,7587485,Drama|Comedy,265,5.9,9199995.95200178,6980483.12858742
0.927339,40000000,106511453,Comedy,661,5.9,36799983.8080071,97990493.6441828
0.91704,0,0,Drama|Action|Crime|Thriller,131,5.8,0.0,0.0
0.913085,60000000,0,Comedy|Western,252,4.8,55199975.7120106,0.0
0.90686,0,0,Comedy|Thriller,96,5.1,0.0,0.0
0.906036,25000000,24902723,History|Drama,262,5.8,22999989.8800044,22910495.0793821
0.898295999999999,14000000,16002420,Drama|History,231,7.1,12879994.3328024,14722219.9222232
0.894477,0,0,Drama,167,6.0,0.0,0.0
0.880937999999999,6000000,11122090,Drama|Music|Romance,412,6.2,5519997.57120106,10232318.2977799
0.880268,0,6075,Adventure|Action|Comedy,215,5.5,0.0,5588.99754084108
0.874641,0,13192457,History|Drama|War,269,6.4,0.0,12137055.0996957
0.872149,0,16775,Action|Thriller,57,4.2,0.0,15432.9932094829
0.861179,0,0,Comedy|Drama,92,5.2,0.0,0.0
0.848748,0,0,Music|Action|Adventure|Comedy|Family,262,6.7,0.0,0.0
0.843174,0,0,Music|Romance|Comedy,22,6.6,0.0,0.0
0.842202,0,30229977,Romance|Drama,220,6.9,0.0,27811566.6029106
0.836940999999999,0,3002884,Drama,126,7.3,0.0,2762652.06443309
0.832487,10000000,85978266,Drama|Comedy,196,6.4,9199995.95200178,79099969.9160132
0.829111,20000000,6420319,Comedy|Drama|War,113,7.1,18399991.9040035,5906690.88105601
0.821443,0,0,Action|Adventure|Animation|Family,14,6.4,0.0,0.0
0.820691,0,1986615,Drama|Thriller,75,7.7,0.0,1827684.9958186
0.814206,37000000,26250020,Adventure|Comedy|Romance,469,5.2,34039985.0224065,24150007.7739965
0.813893,26000000,0,Romance|Comedy,64,3.6,23919989.4752046,0.0
0.810667,0,0,Action|Animation|Science Fiction,32,5.3,0.0,0.0
0.795762,28000000,7002261,Drama|Comedy,122,5.7,25759988.6656049,6442077.28548599
0.792471,0,0,Drama|Science Fiction,57,5.1,0.0,0.0
0.787968999999999,0,231737,Thriller,192,6.4,0.0,213197.946192903
0.781809,0,0,Drama,55,4.5,0.0,0.0
0.773909,0,0,Animation|Comedy|Family|Adventure,33,5.6,0.0,0.0
0.77107,0,134552,Thriller,174,5.5,0.0,123787.785533374
0.768138,0,0,Thriller,17,4.3,0.0,0.0
0.758133,0,3214116,Comedy,197,6.2,0.0,2956985.41892641
0.747541,11000000,0,Western|Drama,53,5.6,10119995.5472019,0.0
0.738404,0,8413144,Documentary|Music,345,7.5,0.0,7740089.0743608
0.7299,0,0,Drama,52,5.3,0.0,0.0
0.719407,0,0,Fantasy|Horror,122,4.9,0.0,0.0
0.714131,0,0,Family|Animation,13,5.5,0.0,0.0
0.707355,0,0,Horror,62,4.9,0.0,0.0
0.706023,7000000,573335,Romance|Drama,86,7.1,6439997.16640124,527467.967914094
0.701369999999999,0,0,Romance|Comedy,264,6.5,0.0,0.0
0.699932,3000000,695269,Drama|Romance,307,4.7,2759998.78560053,639647.198555232
0.69957,9600000,2541554,Drama,89,6.4,8831996.11392171,2338228.65117939
0.696184,0,0,Thriller,88,5.0,0.0,0.0
0.690479,10000000,10835752,Comedy|Drama|Music,114,6.6,9199995.95200178,9968887.45368952
0.689578999999999,15000000,3020664,Comedy|Music|War,56,5.1,13799993.9280026,2779009.65723575
0.689571,2240000,0,Drama,142,7.0,2060799.09324839,0.0
0.673792,1000000,14444999,Comedy|Drama|Romance,87,6.6,919999.595200178,13289393.2326669
0.669351,13000000,1784763,Thriller|Horror,164,4.5,11959994.7376023,1641981.23752825
0.661471,8000000,1411927,Drama,121,6.8,7359996.76160142,1298972.2684522
0.661163,14000000,12314651,Comedy,244,5.0,12879994.3328024,11329473.9350314
0.654335,0,0,Romance|Drama,101,5.7,0.0,0.0
0.654046,4000000,143101,Drama,35,5.0,3679998.38080071,131652.86207274
0.649628,0,0,Drama,74,5.7,0.0,0.0
0.644786,0,0,Mystery|Science Fiction|Thriller,98,4.2,0.0,0.0
0.640151,0,0,Animation|Comedy|Family|Fantasy|Music,298,7.3,0.0,0.0
0.638556999999999,0,0,Thriller|Science Fiction,135,4.7,0.0,0.0
0.633608,0,0,Action,11,5.0,0.0,0.0
0.629560999999999,0,0,Drama|Thriller,14,5.9,0.0,0.0
0.607124,0,8034,Drama,44,5.1,0.0,7391.27674783823
0.606113,0,0,Drama|Horror|Science Fiction,135,5.3,0.0,0.0
0.604928,0,0,Mystery|Drama|Horror,25,3.6,0.0,0.0
0.602165,8000000,35991087,Drama|Adventure|Comedy,171,5.4,7359996.76160142,33111785.4708143
0.599751,0,0,Horror,182,5.2,0.0,0.0
0.599655,3300000,64110728,Thriller|Horror,327,4.9,3035998.66416058,58981843.8079887
0.589472,0,0,Action|Adventure|Animation,142,6.8,0.0,0.0
0.586735,8000000,0,Thriller,57,5.4,7359996.76160142,0.0
0.584363,0,0,Adventure|Documentary,36,7.8,0.0,0.0
0.577814,35000000,14431253,Comedy,241,4.9,32199985.8320062,13276746.9182313
0.570743999999999,2000000,45431,Fantasy|Thriller,129,5.7,1839999.19040035,41796.5016095392
0.569443,0,0,Music|Documentary,197,7.5,0.0,0.0
0.561032,0,0,War|Drama,29,5.7,0.0,0.0
0.560743999999999,7000000,0,Thriller|Crime|Drama,67,5.9,6439997.16640124,0.0
0.560423,12000000,0,Drama,75,5.9,11039995.1424021,0.0
0.553238,0,45710059,Drama,139,7.4,0.0,42053235.7765762
0.548586999999999,0,0,Horror|Mystery,52,5.4,0.0,0.0
0.547827,0,0,Drama,133,6.0,0.0,0.0
0.546458,3000000,0,Drama|Comedy,136,4.9,2759998.78560053,0.0
0.542568,6000000,0,Animation|Adventure|Comedy,50,5.7,5519997.57120106,0.0
0.5327,0,0,Thriller|Horror,10,4.1,0.0,0.0
0.532239,0,0,Documentary,158,5.9,0.0,0.0
0.532205,100000,42664410,Horror|Thriller,247,5.0,91999.9595200178,39251239.9294544
0.52985,0,0,Drama|Comedy,12,4.8,0.0,0.0
0.527957,0,0,Horror|Thriller,100,5.0,0.0,0.0
0.526642,0,0,History|Drama,94,6.9,0.0,0.0
0.524315,10000000,3334927,Drama|Romance,82,5.4,9199995.95200178,3068131.49002214
0.52025,0,0,Drama,32,6.8,0.0,0.0
0.516954,0,0,Horror|TV Movie,19,5.1,0.0,0.0
0.515401,0,0,Thriller|Horror,67,5.5,0.0,0.0
0.514735,0,1236094,Action,13,6.2,0.0,1137205.97962936
0.513386,0,0,Drama|Thriller,18,4.0,0.0,0.0
0.50732,0,0,Crime|Drama,16,4.1,0.0,0.0
0.504827999999999,0,0,Drama|Thriller,29,5.0,0.0,0.0
0.502489,0,0,Thriller|Horror,96,6.5,0.0,0.0
0.497265,0,157768,Fantasy|Comedy|Animation,47,4.3,0.0,145146.496135541
0.486351,21000000,0,Adventure|Science Fiction|Action,63,4.9,19319991.4992037,0.0
0.482422,0,0,Action,43,4.7,0.0,0.0
0.47784,0,0,Action|Adventure|Animation|Family,17,6.8,0.0,0.0
0.476341,0,0,TV Movie,10,7.6,0.0,0.0
0.475473,0,0,Action|Drama|Family,38,6.6,0.0,0.0
0.474788,0,0,Drama,13,5.8,0.0,0.0
0.474626,0,0,Horror|Thriller,77,5.6,0.0,0.0
0.473344,0,0,Horror|Thriller,14,4.5,0.0,0.0
0.471393,0,0,Drama|Documentary,112,7.5,0.0,0.0
0.471091,20000000,0,Comedy,60,4.4,18399991.9040035,0.0
0.470991,0,0,Comedy,53,6.0,0.0,0.0
0.470124,0,0,Music|Drama|Crime|Comedy,33,5.9,0.0,0.0
0.467556,5300000,0,Comedy|Action,24,5.8,4875997.85456094,0.0
0.465707,0,13603453,Music|Animation|Family|Fantasy,68,6.1,0.0,12515171.2533246
0.46209,9000000,21571189,Drama,72,6.7,8279996.3568016,19845485.1479865
0.459597,0,0,Horror|Science Fiction,82,4.9,0.0,0.0
0.454151,0,0,Comedy|Horror,83,6.5,0.0,0.0
0.452939,0,0,Action|Animation|Fantasy,99,6.9,0.0,0.0
0.450872,13000000,1646788,Drama|Music,19,5.6,11959994.7376023,1515044.29338051
0.45016,0,316472,Action|Drama|Thriller,132,5.7,0.0,291154.11189219
0.444265,0,0,Fantasy|Thriller|Horror|Science Fiction,73,6.0,0.0,0.0
0.444193,0,0,Action|Science Fiction|Adventure|Fantasy,31,4.1,0.0,0.0
0.443525,0,0,Thriller|Drama|Horror,22,6.1,0.0,0.0
0.442835,0,0,Animation|Family,137,7.3,0.0,0.0
0.442427,0,3286448,Drama,107,5.9,0.0,3023530.82964643
0.442067,0,0,Thriller|Drama,78,5.2,0.0,0.0
0.441882,0,0,Horror|Comedy,211,6.6,0.0,0.0
0.441402,0,0,Thriller|Horror|Comedy|Drama,65,6.3,0.0,0.0
0.439597999999999,0,0,Comedy|Music,101,5.4,0.0,0.0
0.438409,0,0,Thriller|Comedy|Crime,54,5.5,0.0,0.0
0.437088,0,0,Family|Science Fiction|Action|Adventure,18,3.5,0.0,0.0
0.435582,5000000,2333684,Drama|Music|Adventure|Fantasy,69,5.7,4599997.97600089,2146988.33532513
0.433072999999999,0,0,Thriller|Action|Drama,23,4.8,0.0,0.0
0.429892,10000000,0,Action|Horror|Thriller,35,5.0,9199995.95200178,0.0
0.427116,0,0,Documentary,67,7.2,0.0,0.0
0.424813,6000000,90777,Drama|War,306,7.5,5519997.57120106,83514.8032534865
0.423161,0,0,Horror,56,5.6,0.0,0.0
0.42179,0,0,Drama,19,7.1,0.0,0.0
0.429756,0,4505,Thriller|Mystery|Science Fiction,45,5.3,0.0,4144.5981763768
0.417191,0,0,Family|TV Movie,12,6.3,0.0,0.0
0.415041,0,0,Thriller|Horror,15,5.5,0.0,0.0
0.414913,3000000,3387000,Thriller|Horror,91,5.0,2759998.78560053,3116038.628943
0.370258,0,0,Crime|Horror|Thriller,10,4.7,0.0,0.0
0.412877,0,0,Thriller|Drama|Comedy,21,5.7,0.0,0.0
0.412503,1000000,0,Drama,58,5.8,919999.595200178,0.0
0.409698,0,0,Thriller|Action,20,4.4,0.0,0.0
0.405095,0,0,Drama,23,6.2,0.0,0.0
0.404511,0,0,Fantasy|Action|Adventure,23,3.8,0.0,0.0
0.402236,447524,771317,Drama|Comedy,47,4.2,411721.898842364,709611.327771015
0.250209,0,0,Family|TV Movie|Animation,48,5.9,0.0,0.0
0.399947,0,228136,Thriller|Romance|Drama,42,6.2,0.0,209885.027650587
0.398982,0,0,Science Fiction|Action,92,6.1,0.0,0.0
0.396791,0,830129,Drama|Music,16,6.8,0.0,763718.343963928
0.394466,1950000,0,Thriller|Action,35,5.7,1793999.21064034,0.0
0.393642,0,0,Horror,74,5.3,0.0,0.0
0.393566,1000000,0,Adventure|Action,23,4.4,919999.595200178,0.0
0.391326,0,0,Thriller|Action|Drama,16,5.4,0.0,0.0
0.386529,0,0,Horror,75,3.5,0.0,0.0
0.383406,0,49970,Horror|Romance|Science Fiction,110,6.5,0.0,45972.3797721529
0.383183,0,0,Thriller,26,4.9,0.0,0.0
0.382997,0,0,Horror,91,5.5,0.0,0.0
0.712889999999999,0,0,Animation|Family|Fantasy,11,7.0,0.0,0.0
0.378836,0,0,Science Fiction|Action|Horror,15,3.8,0.0,0.0
0.37668,0,0,Horror|Action,24,3.3,0.0,0.0
0.411416,0,0,Thriller|Action|Horror,12,3.6,0.0,0.0
0.374853,0,0,Comedy|Romance,41,5.9,0.0,0.0
0.372889,0,0,Drama|Horror|Thriller,43,5.0,0.0,0.0
0.371145,0,0,Thriller|Drama|Science Fiction,21,6.1,0.0,0.0
0.370148,0,0,TV Movie|Adventure|Comedy,21,6.5,0.0,0.0
0.369529,5000000,0,Horror|Thriller|Science Fiction,82,4.4,4599997.97600089,0.0
0.369108,0,0,TV Movie|Action|Science Fiction,60,3.7,0.0,0.0
0.36817,6000000,0,Drama,35,4.8,5519997.57120106,0.0
0.367617,0,0,Science Fiction|Drama|Family,29,6.4,0.0,0.0
0.367434,0,0,Thriller|Drama,16,5.8,0.0,0.0
0.36603,4400000,0,Comedy|Horror,22,7.2,4047998.21888078,0.0
0.365901,10000000,17472,Drama|Thriller,48,5.0,9199995.95200178,16074.2329273375
0.329164,0,0,Drama|Romance|Comedy,104,5.9,0.0,0.0
0.359826,0,0,Crime|Drama|Thriller,21,5.4,0.0,0.0
0.357654,0,0,Documentary,80,6.5,0.0,0.0
0.357614,0,0,Documentary,186,7.8,0.0,0.0
0.357567,0,0,Thriller|Drama,30,5.5,0.0,0.0
0.356519,0,0,War|Action,26,4.9,0.0,0.0
0.354624,0,0,Adventure|Action|Comedy|Science Fiction,136,6.6,0.0,0.0
0.350858,0,0,Animation|Music|Family,17,6.3,0.0,0.0
0.350599,0,0,Drama|Horror|Science Fiction|Thriller,167,6.1,0.0,0.0
0.348306,0,16661077,Animation|Documentary,39,6.3,0.0,15328184.095599
0.347797,0,0,Comedy,23,4.2,0.0,0.0
0.344994,0,0,Animation,16,5.9,0.0,0.0
0.344549,0,7449681,Drama|Comedy,39,6.2,0.0,6853703.50437045
0.34253,0,0,Drama|TV Movie|Crime|Mystery,10,5.6,0.0,0.0
0.574031,0,494506,Documentary,110,6.2,0.0,454945.319824059
0.339297,0,0,Drama|TV Movie,18,5.9,0.0,0.0
